0	0.731996	0.733674	0.732834	0.002021
1	0.778468	0.776900	0.777683	0.002004
2	0.821582	0.820924	0.821253	0.002017
3	0.724462	0.725098	0.724780	0.002016
4	0.792173	0.792174	0.792174	0.002024
5	0.891418	0.893363	0.892389	0.001952
6	0.792725	0.792879	0.792802	0.001918
7	0.737907	0.734747	0.736324	0.001912
8	0.825792	0.823886	0.824838	0.001906
0	0.793082	0.795242	0.794161	0.001923
1	0.840449	0.840375	0.840412	0.001913
2	0.751997	0.753667	0.752831	0.001909
3	0.874695	0.876789	0.875741	0.001915
4	0.796909	0.799742	0.798323	0.001915
5	0.821105	0.821018	0.821062	0.001898
6	0.828065	0.830096	0.829079	0.001928
7	0.743709	0.746911	0.745306	0.001940
8	0.865988	0.864747	0.865367	0.001937
