1
0	0.289353	0.299584	0.294379	0.000136
1	0.258619	0.268471	0.263453	0.000137
2	0.265292	0.271412	0.268317	0.000137
3	0.264782	0.272153	0.268417	0.000137
4	0.281007	0.287263	0.284100	0.000138
5	0.282035	0.289759	0.285845	0.000137
6	0.254895	0.265078	0.259887	0.000136
7	0.286394	0.293911	0.290104	0.000136
8	0.250787	0.256678	0.253698	0.000137
2
0	0.268560	0.277229	0.272826	0.000137
1	0.287991	0.296471	0.292170	0.000137
2	0.297006	0.305489	0.301188	0.000137
3	0.328898	0.339143	0.333942	0.000136
4	0.357303	0.371319	0.364176	0.000136
5	0.359303	0.371905	0.365495	0.000138
6	0.332775	0.344005	0.338297	0.000138
7	0.344824	0.357229	0.350917	0.000140
8	0.397349	0.412299	0.404686	0.000137
