1
0	0.378332	0.377648	0.379092	0.000026
1	0.292104	0.291969	0.292265	0.000025
2	0.314743	0.315097	0.314432	0.000022
3	0.384870	0.382315	0.387498	0.000025
4	0.287012	0.286767	0.287272	0.000026
5	0.331387	0.330522	0.332294	0.000022
6	0.291310	0.291571	0.291155	0.000023
7	0.334221	0.333031	0.335464	0.000030
8	0.280706	0.281700	0.279777	0.000024
2
0	0.430117	0.429502	0.430772	0.000025
1	0.356567	0.353446	0.359815	0.000026
2	0.312882	0.310442	0.315481	0.000029
3	0.359752	0.356161	0.363515	0.000025
4	0.368884	0.363657	0.374450	0.000031
5	0.355673	0.351994	0.359530	0.000029
6	0.339184	0.335264	0.343313	0.000025
7	0.336578	0.337036	0.336262	0.000028
8	0.350717	0.349121	0.352428	0.000022
